Ping,Handshake Duration (microseconds)
1,425
2,374
3,313
4,1127
5,213
6,330
7,219
8,211
9,438
10,808
11,296
12,306
13,313
14,511
15,224
16,183
17,214
18,1873
19,316
20,463
21,555
22,1159
23,329
24,256
25,242
26,325
27,356
28,195
29,185
30,229
31,180
32,498
33,190
34,320
35,195
36,206
37,178
38,187
39,197
40,194
41,216
42,1286
43,228
44,187
45,351
46,251
47,1013
48,367
49,214
50,1195
51,224
52,687
53,459
54,258
55,260
56,186
57,178
58,232
59,242
60,1049
61,224
62,372
63,228
64,230
65,1443
66,191
67,219
68,4203
69,747
70,296
71,227
72,221
73,233
74,233
75,186
76,215
77,189
78,526
79,249
80,233
81,212
82,182
83,228
84,184
85,189
86,831
87,182
88,177
89,280
90,161
91,193
92,163
93,180
94,1004
95,348
96,249
97,244
98,223
99,211
